@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
169,80,2738,16,20151,0.000793,0.028389,0.833333,0.028389,0.166667,0.054907,0.004177,6.797078,0.854811
170,72,2746,16,20151,0.000793,0.02555,0.818182,0.02555,0.181818,0.049553,0.003829,6.673495,0.856947
171,71,2747,16,20151,0.000793,0.025195,0.816092,0.025195,0.183908,0.048881,0.003785,6.656449,0.862263
172,62,2756,14,20153,0.000694,0.022001,0.815789,0.022001,0.184211,0.042847,0.003307,6.653982,0.868123
173,59,2759,14,20153,0.000694,0.020937,0.808219,0.020937,0.191781,0.040816,0.003176,6.592235,0.879279
174,17,2801,3,20164,0.000149,0.006033,0.85,0.006033,0.15,0.01198,0.00087,6.93302,0.882801
175,14,2804,3,20164,0.000149,0.004968,0.823529,0.004968,0.176471,0.009877,0.00074,6.717113,0.886965
176,12,2806,3,20164,0.000149,0.004258,0.8,0.004258,0.2,0.008472,0.000653,6.525195,0.892972
177,8,2810,3,20164,0.000149,0.002839,0.727273,0.002839,0.272727,0.005656,0.000479,5.931996,0.905187
178,5,2813,1,20166,0.00005,0.001774,0.833333,0.001774,0.166667,0.003541,0.000261,?,0.909413
179,5,2813,0,20167,0,0.001774,1,0.001774,0,0.003542,0.000218,?,0.927135
180,0,2818,0,20167,0,0,0,0,0,0,0,?,0.927145
